ExamDescription,GroupName
MRI-CTSC,MR Spine 2 Areas w/o Contrast
MRI-CXR,MR Chest w/o Contrast
MRI-CXRC,MR Chest with Contrast
MRI-ELBL,MR Elbow w/o Contrast LT
MRI-ELBLC,MR Elbow with Contrast LT
MRI-ELBR,MR Elbow w/o Contrast RT
MRI-ELBRC,MR Elbow with Contrast RT
MRI-FACB,MR Head w/o Contrast
MRI-FACBC,MR Head with Contrast
MRI-FOOL,MR Foot w/o Contrast LT
MRI-FOOLC,MR Foot with Contrast LT
MRI-FOOR,MR Foot w/o Contrast RT
MRI-FOORC,MR Foot with Contrast RT
MRI-HANL,MR Hand w/o Contrast LT
MRI-HANLC,MR Hand with Contrast LT
MRI-HANR,MR Hand w/o Contrast RT
MRI-HANRC,MR Hand with Contrast RT
MRI-HEA,MR Head w/o Contrast
MRI-HEAC,MR Head with Contrast
MRI-HEACS,MR Head and Neck w/o Contrast
MRI-HEACSC,MR Head and Neck with Contrast
MRI-HEAIAC,MR Head w/o Contrast
MRI-HEAIACC,MR Head with Contrast
MRI-HEAMP,MR Head w/o Contrast
MRI-HEAMRA,MR Angio Head w/o Contrast
MRI-HEAMRAC,MR Angio Head with Contrast
MRI-HEAMRV,MR Venogram Head w/o Contrast
MRI-HEAMRVC,MR Venogram Head with Contrast
MRI-HEAMS,MR Head w/o Contrast
MRI-HEAMSC,MR Head with Contrast
MRI-HEAORB,MR Head w/o Contrast
MRI-HEAORBC,MR Head with Contrast
MRI-HEAPITC,MR Head with Contrast
MRI-HEAS,MR Head w/o Contrast
MRI-HEATC,MR Head with Contrast
MRI-HEATSC,MR Head with Contrast
MRI-HIPB,MR Pelvis w/o Contrast
MRI-HIPL,MR Hip w/o Contrast LT
MRI-HIPLC,MR Hip with Contrast LT
MRI-HIPR,MR Hip w/o Contrast RT
MRI-HIPRC,MR Hip with Contrast RT
MRI-IAC,MR Internal Auditory Canal w/o Contrast
MRI-IACC,MR Internal Auditory Canal with Contrast
MRI-IE,MR Partially Completed Exam
MRI-INC,MR Attempted Exam
MRI-KNEL,MR Knee w/o Contrast LT
MRI-KNELC,MR Knee with Contrast LT
MRI-KNER,MR Knee w/o Contrast RT
MRI-KNERC,MR Knee with Contrast RT
MRI-LBP,MR Spine Lumbar Plexus w/o Contrast
MRI-LBPC,MR Spine Lumbar Plexus with Contrast
MRI-LEGL,MR Ext Lower w/o Contrast LT
MRI-LEGLC,MR Ext Lower with Contrast LT
MRI-LEGR,MR Ext Lower w/o Contrast RT
MRI-LEGRC,MR Ext Lower with Contrast RT
MRI-LS,MR Spine Lumbar w/o Contrast
MRI-LSC,MR Spine Lumbar with Contrast
MRI-LSFE,MR Spine Lumbar w/o Contrast
MRI-LSPOC,MR Spine Lumbar with Contrast
MRI-LSSIJ,MR Spine 2 Areas w/o Contrast
MRI-LSSIJC,MR Spine 2 Areas with Contrast
MRI-ORB,MR Orbits w/o Contrast
MRI-ORBC,MR Orbits with Contrast
MRI-PA,MR Post Arthorgram
MRI-PEL,MR Pelvis w/o Contrast
MRI-PELB,MR Pelvis w/o Contrast
MRI-PELBC,MR Pelvis with Contrast
MRI-PELC,MR Pelvis with Contrast
MRI-PELSV,MR Pelvis w/o Contrast
MRI-PIT,MR Head w/o Contrast
MRI-PITC,MR Head with Contrast
MRI-SAC,MR Spine Sacrum Coccyx SI Jts w/o Cont
MRI-SACC,MR Spine Sacrum Coccyx SI Jts with Cont
MRI-SCJ,MR Sternum w/o Contrast
MRI-SCJC,MR Sternum with Contrast
MRI-SCO,MR Spine 3 Areas w/o Contrast
MRI-SHOL,MR Shoulder w/o Contrast LT
MRI-SHOLC,MR Shoulder with Contrast LT
MRI-SHOR,MR Shoulder w/o Contrast RT
MRI-SHORC,MR Shoulder with Contrast RT
MRI-SIJ,MR Sacroiliac Joints w/o Contrast
MRI-SIJC,MR Sacroiliac Joints with Contrast
MRI-SPEC,MR Spectroscopy Only
MRI-STE,MR Sternum w/o Contrast
MRI-STEC,MR Sternum with Contrast
MRI-STN,MR Neck and or Nasopharynx w/o Contrast
MRI-STNC,MR Neck and or Nasopharynx with Contrast
MRI-TLS,MR Spine 2 Areas w/o Contrast
MRI-TLSC,MR Spine 2 Areas with Contrast
MRI-TMJ,MR Temporomandibular Joints w/o Contrast
MRI-TMJC,MR Temporomandibular Joints with Cont
MRI-TS,MR Spine Thoracic w/o Contrast
MRI-TSC,MR Spine Thoracic with Contrast
MRI-WRIL,MR Wrist w/o Contrast LT
MRI-WRILC,MR Wrist with Contrast LT
MRI-WRIR,MR Wrist w/o Contrast RT
MRI-WRIRC,MR Wrist with Contrast RT
MRIC-ABD,MR Abdomen w/o Contrast
MRIC-ABDB,MR Abdomen w/o Contrast
MRIC-ABDBC,MR Abdomen with Contrast
MRIC-ABDBL,MR Abdomen w/o Contrast
MRIC-ABDBLC,MR Abdomen with Contrast
MRIC-ABDC,MR Abdomen with Contrast
MRIC-ABDL,MR Abdomen w/o Contrast
MRIC-ABDLC,MR Abdomen with Contrast
MRIC-ABDP,MR Abdomen and Pelvis w/o Contrast
MRIC-ABDPB,MR Abdomen and Pelvis w/o Contrast
MRIC-ABDPBC,MR Abdomen and Pelvis with Contrast
MRIC-ABDPC,MR Abdomen and Pelvis with Contrast
MRIC-ANHEAC,MR Angio Head with Contrast
MRIC-ANNECC,MR Angio Carotid with Contrast
MRIC-ARML,MR Ext Upper w/o Contrast LT
MRIC-ARMLC,MR Ext Upper with Contrast LT
MRIC-ARMR,MR Ext Upper w/o Contrast RT
MRIC-ARMRC,MR Ext Upper with Contrast RT
MRIC-BRE,MR Breast w/o Contrast BILAT
MRIC-BREC,MR Breast with Contrast BILAT
MRIC-BRP,MR Brachial Plexus w/o Contrast BILAT
MRIC-BRPC,MR Brachial Plexus with Contrast BILAT
MRIC-BXBRB,MR Biopsy Breast BILAT
MRIC-BXBRL,MR Biopsy Breast LT
MRIC-BXBRR,MR Biopsy Breast RT
MRIC-CS,MR Spine Cervical w/o Contrast
MRIC-CSBP,MR Brachial Plexus w/o Contrast BILAT
MRIC-CSBPC,MR Brachial Plexus with Contrast BILAT
MRIC-CSC,MR Spine Cervical with Contrast
MRIC-CTLS,MR Spine 3 Areas w/o Contrast
MRIC-CTLSC,MR Spine 3 Areas with Contrast
MRIC-CXR,MR Chest w/o Contrast
MRIC-CXRC,MR Chest with Contrast
MRIC-FACB,MR Head w/o Contrast
MRIC-FACBC,MR Head with Contrast
MRIC-HANL,MR Hand w/o Contrast LT
MRIC-HANLC,MR Hand with Contrast LT
MRIC-HANR,MR Hand w/o Contrast RT
MRIC-HANRC,MR Hand with Contrast RT
MRIC-HEA,MR Head w/o Contrast
MRIC-HEAC,MR Head with Contrast
MRIC-HIPL,MR Hip w/o Contrast LT
MRIC-HIPLC,MR Hip with Contrast LT
MRIC-HIPR,MR Hip w/o Contrast RT
MRIC-HIPRC,MR Hip with Contrast RT
MRIC-IAC,MR Internal Auditory Canal w/o Contrast
MRIC-IACC,MR Internal Auditory Canal with Contrast
MRIC-LEGL,MR Ext Lower w/o Contrast LT
MRIC-LEGLC,MR Ext Lower with Contrast LT
MRIC-LEGR,MR Ext Lower w/o Contrast RT
MRIC-LEGRC,MR Ext Lower with Contrast RT
MRIC-LS,MR Spine Lumbar w/o Contrast
MRIC-LSC,MR Spine Lumbar with Contrast
MRIC-ORB,MR Orbits w/o Contrast
MRIC-ORBC,MR Orbits with Contrast
MRIC-PEL,MR Pelvis w/o Contrast
MRIC-PELB,MR Pelvis w/o Contrast
MRIC-PELBC,MR Pelvis with Contrast
MRIC-PELC,MR Pelvis with Contrast
MRIC-PIT,MR Head w/o Contrast
MRIC-PITC,MR Head with Contrast
MRIC-SAC,MR Spine Sacrum Coccyx SI Jts w/o Cont
MRIC-SACC,MR Spine Sacrum Coccyx SI Jts with Cont
MRIC-SHOL,MR Shoulder w/o Contrast LT
MRIC-SHOLC,MR Shoulder with Contrast LT
MRIC-SHOR,MR Shoulder w/o Contrast RT
MRIC-SHORC,MR Shoulder with Contrast RT
MRIC-STN,MR Neck and or Nasopharynx w/o Contrast
MRIC-STNC,MR Neck and or Nasopharynx with Contrast
MRIC-TS,MR Spine Thoracic w/o Contrast
MRIC-TSC,MR Spine Thoracic with Contrast
MRIC-WRIL,MR Wrist w/o Contrast LT
MRIC-WRILC,MR Wrist with Contrast LT
MRIC-WRIR,MR Wrist w/o Contrast RT
MRIC-WRIRC,MR Wrist with Contrast RT
NM-ASP,NM Espphagus
NM-BIL,NM Hepatobiliary
NM-BILEFP,NM Hepatobiliary
NM-BILF,NM Hepatobiliary
NM-BILVM,NM Hepatobiliary
NM-BONMAR,NM Bone 
NM-BONR,NM Bone 
NM-BONRF,NM Bone 
NM-BONRFP,NM Bone 
NM-BONRFS,NM Bone 
NM-BONRP,NM Bone 
NM-BONRS,NM Bone 
NM-BONWB,NM Bone 
NM-BONWBBPS,NM Bone 
NM-BONWBEV,NM Bone 
NM-BONWBEVS,NM Bone 
NM-BONWBF,NM Bone 
NM-BONWBFEV,NM Bone 
NM-BONWBFEVS,NM Bone 
NM-BONWBFS,NM Bone 
NM-BONWBJ,NM Bone 
NM-BONWBJBP,NM Bone 
NM-BONWBJBPS,NM Bone 
NM-BONWBS,NM Bone 
NM-BRAF,NM Brain
NM-BRAHS,NM Brain
NM-BREA,NM Scintimammography
NM-CARFP,NM Cardiac First Pass
NM-CARIAS,NM Myocardial Infarct
NM-CARWM,NM MUGA
NM-CSF,NM Cisternography
NM-CSFL,NM Cisternography
NM-CSFLDO,NM Cisternography
NM-CSH,NM Cardiac Shunt
NM-GALD,NM Gallium
NM-GALLWBS,NM Gallium
NM-GALR,NM Gallium
NM-GALRD,NM Gallium
NM-GALRS,NM Gallium
NM-GALRSD,NM Gallium
NM-GALWB,NM Gallium
NM-GALWBD,NM Gallium
NM-GALWBLS,NM Gallium
NM-GALWBS,NM Gallium
NM-GASE,NM Gastric Emptying
NM-GASER,NM Espphagus
NM-GASERPED,NM Gastric Emptying
NM-GASIB,NM GI Bleed
NM-IE,NM Partially Completed Exam
NM-INC,NM Partially Completed Exam
NM-LAC,NM Liver
NM-LIR,NM Spine Lumbar Radionuclide Injection
NM-LIVSFS,NM Liver
NM-LIVSS,NM Liver
NM-LUNP,NM Lung
NM-LUNPF,NM Lung
NM-LUNPQ,NM Lung
NM-LUNVP,NM Lung
NM-LUNVPQ,NM Lung
NM-LUNVQ,NM Lung
NM-LYM,NM Lymphoscintigraphy
NM-LYMM,NM Lymphatic Sentinal Node Melanoma
NM-LYMMD,NM Lymphatic Sentinal Node Melanoma
NM-LYMSENB,NM Lymphatic Sentinel Node Breast
NM-LYMSENBB,NM Lymphatic Sentinel Node Breast
NM-MECL,NM Meckels
NM-MYOPR,NM Myocardial Perfusion
NM-MYOPRS,NM Myocardial Perfusion
NM-MYOPRSP,NM Myocardial Perfusion
NM-MYOPS,NM Myocardial Perfusion
NM-MYOPSP,NM Myocardial Perfusion
NM-OCTWBDO,NM Tumour
NM-OCTWBSD,NM Tumour
NM-PARD,NM Parathyroid
NM-PARDO,NM Parathyroid
NM-RBCLS,NM Liver
NM-REN,NM Renal 
NM-RENC,NM Renal 
NM-RENCG,NM Renal 
NM-RENCM,NM Renal 
NM-RENCMO,NM Renal 
NM-RENCO,NM Renal 
NM-REND,NM Renal 
NM-RENDF,NM Renal 
NM-RENDS,NM Renal 
NM-RENG,NM Renal 
NM-RENGP,NM Renal Blood GFR
NM-RENL,NM Renal 
NM-RENLG,NM Renal 
NM-RENM,NM Renal 
NM-RENML,NM Renal 
NM-SAL,NM Salivagram
NM-TEST,NM Testis/Scrotum
NM-THACS,NM Tumour
NM-THAR,NM Myocardial Perfusion
NM-THAS,NM Myocardial Perfusion
NM-THASR,NM Myocardial Perfusion
NM-THASRP,NM Myocardial Perfusion
NM-THAWBS,NM Tumour
NM-THY,NM Thyroid
NM-THYDU,NM Thyroid
NM-THYDUT,NM Thyroid
NM-THYSU,NM Thyroid Single Uptake
NM-THYSUT,NM Thyroid
NM-TXM,NM Thyroid
NM-TXMET,NM Treatment with Metastron
NM-TXMPWB,NM Thyroid
NM-TXP,NM Therapy P-32
NM-TXTHY,NM Therapy Thyroid Ablation I-131 IP
NM-VCU,NM Cystogram
NM-VENO,NM Venogram
NM-VPS,NM Peritoneal
NM-WBCIR,NM Infection WBC
NM-WBCIRD,NM Infection WBC
NM-WBCIRS,NM Infection WBC
NM-WBCIRSD,NM Infection WBC
NM-WBCIWB,NM Infection WBC
NM-WBCIWBD,NM Infection WBC
NM-WBCIWBS,NM Infection WBC
NM-WBCIWBSD,NM Infection WBC
NM-WBCTR,NM Infection WBC
NM-WBCTRD,NM Infection WBC
NM-WBCTRS,NM Infection WBC
NM-WBCTRSD,NM Infection WBC
NM-WBCTWB,NM Infection WBC
NM-WBCTWBD,NM Infection WBC
NM-WBCTWBS,NM Infection WBC
NM-WBCTWBSD,NM Infection WBC
NM-WBI,NM Thyroid
NM-WBID,NM Thyroid
NM-WBIDO,NM Thyroid
NM-WBII,NM Thyroid
NMC-BONWB,NM Bone 
NMC-BONWBEV,NM Bone 
NMC-BONWBF,NM Bone 
NMC-BONWBFEV,NM Bone 
NMC-CARWM,NM MUGA
NMC-IE,NM Partially Completed Exam
NMC-LIVSS,NM Liver
NMC-LUNVP,NM Lung
NMC-LYMMF,NM Lymphatic Sentinal Node Melanoma
NMC-MIBGWBS,NM Tumour
NMC-OCTWBSD,NM Tumour
NMC-RBCLS,NM Liver
NMC-REN,NM Renal 
NMC-RENG,NM Renal 
NMC-RENLG,NM Renal 
NMC-THACS,NM Tumour
NMC-THY,NM Thyroid
NMC-TXHD,NM Therapy Thyroid Ablation I-131 OP
NMC-TXM,NM Thyroid
NMC-TXMET,NM Treatment with Metastron
NMC-TXMPWB,NM Thyroid
NMC-TXRA,NM Therapy Prostate Radium-223
NMC-TXSTR,NM Treatment SR-89
NMC-TXY,NM Therapy Joint Yttrium-90
NMC-WBCTR,NM Infection WBC
NMC-WBCTWB,NM Infection WBC
NMC-WBI,NM Thyroid
NMC-WBID,NM Thyroid
NMC-WBII,NM Thyroid
NMCS-BONWB,NM Bone 
NMCS-CARWM,NM MUGA
NMCS-ECWBS,NM EC-FV-6-ETARFILOTIDE
NMS-BONWB,NM Bone 
NMS-CARWM,NM MUGA
OR-ORABDF,RF Abdomen
OR-ORANABD,IR Angio Abdominal Selective
OR-ORANCER,IR Angio Cerebral
OR-ORANPER,IR Angio Peripheral
OR-ORANTHO,IR Angio Thoracic
OR-ORAP,IR Angioplasty
OR-ORAPSTI,IR Angioplasty
OR-ORAORSTI,IR Angio EVAR Stent Abdominal
OR-ORAORSTIR,IR Angio EVAR Stent Abdominal
OR-ORBRAC,IR Brachytherapy
OR-ORCXRF,RF Chest
OR-ORCHOLE,IR Cholangiogram
OR-ORCYS,RF Cystogram
OR-ORERCP,RF ERCP
OR-ORHIPPL,RF Hip Fixation LT
OR-ORHIPPR,RF Hip Fixation RT
OR-ORABD,XR Abdomen Single View
OR-ORNAILL,RF Femur IM Nail LT
OR-ORNAILR,RF Femur IM Nail RT
OR-ORIE,RF Partially Completed Exam
OR-ORANKL,XR Ankle LT
OR-ORANKR,XR Ankle RT
OR-ORIVCF,IR Venous IVC Filter Insertion
OR-ORLEXFL,RF Lower Extremity LT
OR-ORLEXFR,RF Lower Extremity RT
OR-ORNEPLIL,IR Lithotripsy BILAT
OR-ORPAC,RF Pacemaker Insertion or Removal
OR-ORRENSTI,IR Renal Stent Insertion
OR-ORRETRO,RF Pyelogram Retrograde BILAT
OR-ORRHI,IR Rhizotomy Lumbar Single
OR-ORCS,XR Spine Cervical
OR-ORCXR,XR Chest
OR-ORSKUF,RF Skull
OR-ORSPIF,RF Spine 
OR-ORELBL,XR Elbow LT
OR-ORELBR,XR Elbow RT
OR-ORSPIFI,RF Spine 
OR-ORFEML,XR Femur LT
OR-ORFEMR,XR Femur RT
OR-ORFOOL,XR Foot LT
OR-ORFOOR,XR Foot RT
OR-ORFORL,XR Forearm LT
OR-ORFORR,XR Forearm RT
OR-ORHANL,XR Hand LT
OR-ORHANR,XR Hand RT
OR-ORHIPL,XR Hip LT
OR-ORUEXFL,IR Biopsy Upper Extremity
OR-ORURE,IR Urethrogram
OR-ORHIPR,XR Hip RT
OR-ORHUML,XR Humerus LT
OR-ORHUMR,XR Humerus RT
OR-ORVEN,IR Venogram Other Selective
OR-ORINC,XR Attempted Exam
OR-ORUEXFR,IR Biopsy Upper Extremity
OR-ORKNEL,XR Knee LT
OR-ORKNER,XR Knee RT
OR-ORLS,XR Spine Lumbar
OR-ORPELF,XR Pelvis
OR-ORSHOL,XR Shoulder LT
OR-ORSHOR,XR Shoulder RT
OR-ORSKU,XR Skull
OR-ORTIBL,XR Tibia Fibula LT
OR-ORTIBR,XR Tibia Fibula RT
OR-ORTS,XR Spine Thoracic
OR-ORWRIL,XR Wrist LT
OR-ORWRIR,XR Wrist RT
RAD-ABDFP,RF Abdomen
RAD-CXRF,RF Chest
RAD-CXRFP,RF Chest
RAD-ERCP,RF ERCP
RAD-GICOL,RF Colon Double Contrast
RAD-GICOLPED,RF Colon Single Contrast
RAD-GICOLINT,RF Colon Single Contrast
RAD-GICOLB,RF Colon Double Contrast
RAD-GIOESO,RF Esophagram
RAD-GIOESOV,RF Esophagram
RAD-GIOSD,RF Esophagus Stomach Duodenum
RAD-GIOSDPED,RF Esophagus Stomach Duodenum
RAD-GIOSDFT,RF Esophagus Stomach Duodenum + FT
RAD-GIOSDFTP,RF Esophagus Stomach Duodenum + FT
RAD-GIOSDMF,RF Esophagus Stomach Duodenum
RAD-GIPOU,RF Loopogram Pouchogram
RAD-GISBFT,RF Small Bowel Follow Through
RAD-GISPE,RF Esophagram
RAD-KNEF,RF Knee Unilateral
RAD-LEXF,RF Lower Extremity
RAD-LEXFCL,RF Lower Extremity LT
RAD-LEXFCR,RF Lower Extremity RT
RAD-RADFL,RF Fluoro only by Radiologist
RAD-ABD,XR Abdomen Single View
RAD-ABD2,XR Abdomen Multiview
RAD-ABD2P,XR Abdomen Multiview Portable
RAD-ABD3,XR Abdomen Multiview
RAD-ABD3P,XR Abdomen Multiview Portable
RAD-ABDNP,XR Abdomen Multiview Portable
RAD-ABDP,XR Abdomen Single View Portable
RAD-ACJ,XR Acromioclavicular Joints BILAT
RAD-ACJCLL,XR Acromioclavicular Joint LT
RAD-ACJCLR,XR Acromioclavicular Joint RT
RAD-ACJWT,XR Acromioclavicular Joints BILAT
RAD-ANKB,XR Ankle BILAT
RAD-ANKCAL,XR Ankle LT
RAD-ANKCAR,XR Ankle RT
RAD-ANKL,XR Ankle LT
RAD-ANKLP,XR Ankle LT
RAD-ANKLPR,XR Ankle LT
RAD-ANKR,XR Ankle RT
RAD-ANKRP,XR Ankle RT
RAD-ANKRPR,XR Ankle RT
RAD-BONA,XR Bone Age
RAD-CALB,XR Calcaneus BILAT
RAD-CALL,XR Calcaneus LT
RAD-CALLP,XR Calcaneus LT
RAD-CALR,XR Calcaneus RT
RAD-CALRP,XR Calcaneus RT
RAD-CLAB,XR Clavicle BILAT
RAD-CLAL,XR Clavicle LT
RAD-CLALP,XR Clavicle LT
RAD-CLAR,XR Clavicle RT
RAD-CLARP,XR Clavicle RT
RAD-CLS,XR Spine
RAD-COMPARE,XR Comparison View
RAD-CS,XR Spine Cervical
RAD-CSFE,XR Spine Cervical
RAD-CSFEO,XR Spine Cervical
RAD-CSO,XR Spine Cervical
RAD-CSP,XR Spine Cervical
RAD-CSSV,XR Spine Cervical
RAD-CTLS,XR Spine
RAD-CTS,XR Spine
RAD-CXR,XR Chest
RAD-CXRABPED,XR Chest/Abdomen Single Exposure
RAD-CXRIE,XR Chest
RAD-CXRIEP,XR Chest Portable
RAD-CXRP,XR Chest Portable
RAD-CXRPED,XR Chest
RAD-CXRPEDNP,XR Chest Portable
RAD-CXRPEDP,XR Chest Portable
RAD-CXRRB,XR Ribs BILAT
RAD-CXRRL,XR Ribs LT
RAD-CXRRR,XR Ribs RT
RAD-CXRSH,XR Chest Staff
RAD-CXRSV,XR Chest
RAD-CXRSVO,XR Chest
RAD-CXRSVOP,XR Chest Portable
RAD-CXRSVP,XR Chest Portable
RAD-CXRTB,XR Chest TB
RAD-ELBB,XR Elbow BILAT
RAD-ELBL,XR Elbow LT
RAD-ELBLP,XR Elbow LT
RAD-ELBLPR,XR Elbow LT
RAD-ELBLSV,XR Elbow LT
RAD-ELBLSVO,XR Elbow LT
RAD-ELBR,XR Elbow RT
RAD-ELBRP,XR Elbow RT
RAD-ELBRPR,XR Elbow RT
RAD-ELBRSV,XR Elbow RT
RAD-ELBRSVO,XR Elbow RT
RAD-FACB,XR Facial Bones
RAD-FACBP,XR Facial Bones
RAD-FEMB,XR Femur BILAT
RAD-FEMBP,XR Femur BILAT
RAD-FEMKNL,XR Femur LT
RAD-FEMKNR,XR Femur RT
RAD-FEML,XR Femur LT
RAD-FEMLP,XR Femur LT
RAD-FEMLPR,XR Femur LT
RAD-FEMR,XR Femur RT
RAD-FEMRP,XR Femur RT
RAD-FEMRPR,XR Femur RT
RAD-FINL,XR Finger LT
RAD-FINLPR,XR Finger LT
RAD-FINR,XR Finger RT
RAD-FINRPR,XR Finger RT
RAD-FOOANL,XR Foot and Ankle LT
RAD-FOOANR,XR Foot and Ankle RT
RAD-FOOB,XR Foot BILAT
RAD-FOOCAL,XR Foot and Ankle LT
RAD-FOOCAR,XR Foot and Ankle RT
RAD-FOOL,XR Foot LT
RAD-FOOLP,XR Foot LT
RAD-FOOR,XR Foot RT
RAD-FOORP,XR Foot RT
RAD-FORB,XR Forearm BILAT
RAD-FORELL,XR Forearm LT
RAD-FORELR,XR Forearm RT
RAD-FORL,XR Forearm LT
RAD-FORLP,XR Forearm LT
RAD-FORR,XR Forearm RT
RAD-FORRP,XR Forearm RT
RAD-FORWRL,XR Forearm LT
RAD-FORWRR,XR Forearm RT
RAD-UEXF,RF Upper Extremity
RAD-UEXFCL,IR Biopsy Upper Extremity
RAD-UEXFCR,IR Biopsy Upper Extremity
RAD-HANB,XR Hand BILAT
RAD-HANL,XR Hand LT
RAD-HANLP,XR Hand LT
RAD-HANLPR,XR Hand LT
RAD-HANR,XR Hand RT
RAD-HANRP,XR Hand RT
RAD-HANRPR,XR Hand RT
RAD-HANSCL,XR Hand LT
RAD-HANSCR,XR Hand RT
RAD-HANWRB,XR Hand BILAT
RAD-HANWRL,XR Hand LT
RAD-HANWRR,XR Hand RT
RAD-HIPB,XR Hip BILAT
RAD-HIPBP,XR Hip BILAT
RAD-HIPL,XR Hip LT
RAD-HIPLP,XR Hip LT
RAD-HIPLPR,XR Hip LT
RAD-HIPLTS,XR Hip LT
RAD-HIPR,XR Hip RT
RAD-HIPRP,XR Hip RT
RAD-HIPRPR,XR Hip RT
RAD-HIPRTS,XR Hip RT
RAD-HUMB,XR Humerus BILAT
RAD-HUMELL,XR Humerus LT
RAD-HUMELR,XR Humerus RT
RAD-HUML,XR Humerus LT
RAD-HUMLP,XR Humerus LT
RAD-HUMLPR,XR Humerus LT
RAD-HUMR,XR Humerus RT
RAD-HUMRP,XR Humerus RT
RAD-HUMRPR,XR Humerus RT
RAD-IE,XR Attempted Exam
RAD-INC,XR Attempted Exam
RAD-IVP,XR Intravenous Pyelogram
RAD-IVPTOMO,XR Intravenous Pyelogram
RAD-KNEB,XR Knee BILAT
RAD-KNEB36,XR Knee BILAT
RAD-KNEBOA,XR Knee BILAT
RAD-KNEBP,XR Knee BILAT
RAD-KNEBSV,XR Knee BILAT
RAD-KNEBSV36,XR Knee BILAT
RAD-KNEBTS,XR Knee BILAT
RAD-KNEL,XR Knee LT
RAD-KNEL36,XR Knee LT
RAD-KNELOA,XR Knee LT
RAD-KNELP,XR Knee LT
RAD-KNELPR,XR Knee LT
RAD-KNELSV,XR Knee LT
RAD-KNELSV36,XR Knee LT
RAD-KNELSVP,XR Knee LT
RAD-KNELTRS,XR Knee LT
RAD-KNELTS,XR Knee LT
RAD-KNER,XR Knee RT
RAD-KNER36,XR Knee RT
RAD-KNEROA,XR Knee RT
RAD-KNERP,XR Knee RT
RAD-KNERPR,XR Knee RT
RAD-KNERSV,XR Knee RT
RAD-KNERSV36,XR Knee RT
RAD-KNERSVP,XR Knee RT
RAD-KNERTRS,XR Knee RT
RAD-KNERTS,XR Knee RT
RAD-LEGL,XR Leg Length BILAT
RAD-LEXST,XR Lower Extremity Special Views
RAD-LEXSVO,XR Lower Extremity Special Views
RAD-LS,XR Spine Lumbar
RAD-LSFE,XR Spine Lumbar
RAD-LSFEO,XR Spine Lumbar
RAD-LSP,XR Spine Lumbar
RAD-LSSI,XR Spine
RAD-LSSV,XR Spine Lumbar
RAD-MAN,XR Mandible
RAD-MANP,XR Mandible
RAD-MANPAN,XR Orthopantomogram
RAD-MANPANO,XR Orthopantomogram
RAD-MAS,XR Mastoid Process
RAD-NAS,XR Nasal Bones
RAD-NASP,XR Nasal Bones
RAD-ORB,XR Orbits
RAD-ORBFB,XR Orbits
RAD-ORBMRI,XR Orbits Pre-MRI
RAD-ORBP,XR Orbits
RAD-PATB,XR Patella BILAT
RAD-PATL,XR Patella LT
RAD-PATR,XR Patella RT
RAD-PEDARB,XR Extremity Upper BILAT
RAD-PEDARL,XR Extremity Upper LT
RAD-PEDARR,XR Extremity Upper RT
RAD-PEDLEB,XR Extremity Lower BILAT
RAD-PEDLEL,XR Extremity Lower LT
RAD-PEDLER,XR Extremity Lower RT
RAD-PEL,XR Pelvis
RAD-PELFEB,XR Pelvis and Hips BILAT
RAD-PELFEL,XR Pelvis and Hip LT
RAD-PELFER,XR Pelvis and Hip RT
RAD-PELHIB,XR Pelvis and Hips BILAT
RAD-PELHIL,XR Pelvis and Hip LT
RAD-PELHILP,XR Pelvis and Hip LT
RAD-PELHIR,XR Pelvis and Hip RT
RAD-PELHIRP,XR Pelvis and Hip RT
RAD-PELP,XR Pelvis
RAD-PELSV,XR Pelvis
RAD-PELSVO,XR Pelvis
RAD-RIBB,XR Ribs BILAT
RAD-RIBL,XR Ribs LT
RAD-RIBR,XR Ribs RT
RAD-SACCO,XR Sacrum and/or Coccyx
RAD-SAL,XR Salivary Glands
RAD-SCAPHL,XR Scaphoid LT
RAD-SCAPHR,XR Scaphoid RT
RAD-SCAPUL,XR Scapula LT
RAD-SCAPUR,XR Scapula RT
RAD-SCJB,XR Sternoclavicular Joints
RAD-SCOA,XR Scoliosis Single
RAD-SCOAL,XR Scoliosis Series
RAD-SCOL,XR Scoliosis Single
RAD-SHOACL,XR Shoulder LT
RAD-SHOACR,XR Shoulder RT
RAD-SHOB,XR Shoulder BILAT
RAD-SHOBSV,XR Shoulder BILAT
RAD-SHOCLL,XR Shoulder LT
RAD-SHOCLR,XR Shoulder RT
RAD-SHOHUL,XR Shoulder LT
RAD-SHOHUR,XR Shoulder RT
RAD-SHOL,XR Shoulder LT
RAD-SHOLP,XR Shoulder LT
RAD-SHOLPR,XR Shoulder LT
RAD-SHOLSV,XR Shoulder LT
RAD-SHOR,XR Shoulder RT
RAD-SHORP,XR Shoulder RT
RAD-SHORPR,XR Shoulder RT
RAD-SHORSV,XR Shoulder RT
RAD-SHUNT,XR Shunt Series
RAD-SIJB,XR Sacroiliac Joints
RAD-SIN,XR Sinuses
RAD-SINP,XR Sinuses
RAD-SKU,XR Skull
RAD-SKUP,XR Skull
RAD-SKUSV,XR Skull
RAD-SS,XR Skeletal Survey
RAD-SSPED,XR Skeletal Survey
RAD-STE,XR Sternum
RAD-STESCB,XR Sternum and Sternoclavicular Joints
RAD-STN,XR Soft Tissue Neck/Nasopharynx
RAD-STNP,XR Soft Tissue Neck/Nasopharynx
RAD-TALL,XR Ankle LT
